voter,order,country,title,artist,language,officialpoints,event,score_cat,score
despoina,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,3
despoina,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,8
despoina,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,9
despoina,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,3
despoina,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,7
despoina,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,8
despoina,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,5
despoina,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,8
despoina,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,8
despoina,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,9
despoina,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,7
despoina,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,5
despoina,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,7
despoina,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,10
despoina,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,5
despoina,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,10
despoina,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,9
despoina,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,8
despoina,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,3
despoina,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,10
despoina,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,8
despoina,22,Israel,"""Toy""",Netta,English,529,final,performance,10
despoina,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,5
despoina,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,8
despoina,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,10
despoina,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,9
despoina,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,5
despoina,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,8
despoina,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,staging,7
despoina,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,staging,5
despoina,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,staging,6
despoina,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,staging,8
despoina,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,staging,5
despoina,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,staging,8
despoina,9,United Kingdom,"""Storm""",SuRie,English,48,final,staging,6
despoina,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,staging,8
despoina,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,staging,8
despoina,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,staging,3
despoina,13,France,"""Mercy""",Madame Monsieur,French,173,final,staging,5
despoina,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,staging,8
despoina,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,staging,4
despoina,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,staging,8
despoina,17,Finland,"""Monsters""",Saara Aalto,English,46,final,staging,7
despoina,18,Bulgaria,"""Bones""",Equinox,English,166,final,staging,5
despoina,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,staging,3
despoina,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,staging,8
despoina,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,staging,5
despoina,22,Israel,"""Toy""",Netta,English,529,final,staging,9
despoina,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,staging,5
despoina,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,staging,9
despoina,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,staging,5
despoina,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,staging,9
frida,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,song,7
frida,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,song,8
frida,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,song,6
frida,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,song,6
frida,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,song,10
frida,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,song,8
frida,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,song,8
frida,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,song,8
frida,9,United Kingdom,"""Storm""",SuRie,English,48,final,song,6
frida,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,song,4
frida,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,song,10
frida,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,song,7
frida,13,France,"""Mercy""",Madame Monsieur,French,173,final,song,6
frida,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,song,3
frida,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,song,5
frida,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,song,8
frida,17,Finland,"""Monsters""",Saara Aalto,English,46,final,song,6
frida,18,Bulgaria,"""Bones""",Equinox,English,166,final,song,4
frida,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,song,4
frida,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,song,6
frida,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,song,5
frida,22,Israel,"""Toy""",Netta,English,529,final,song,8
frida,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,song,7
frida,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,song,7
frida,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,song,3
frida,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,song,8
frida,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,6
frida,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,6
frida,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,9
frida,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,4
frida,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,7
frida,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,3
frida,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,7
frida,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,5
frida,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,6
frida,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,3
frida,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,7
frida,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,3
frida,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,2
frida,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,8
frida,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,2
frida,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,4
frida,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,8
frida,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,2
frida,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,10
frida,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,2
frida,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,5
frida,22,Israel,"""Toy""",Netta,English,529,final,performance,8
frida,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,3
frida,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,9
frida,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,8
frida,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,6
frida,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,7
frida,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,4
frida,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,staging,5
frida,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,staging,4
frida,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,staging,5
frida,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,staging,8
frida,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,staging,3
frida,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,staging,4
frida,9,United Kingdom,"""Storm""",SuRie,English,48,final,staging,5
frida,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,staging,2
frida,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,staging,9
frida,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,staging,3
frida,13,France,"""Mercy""",Madame Monsieur,French,173,final,staging,1
frida,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,staging,10
frida,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,staging,2
frida,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,staging,6
frida,17,Finland,"""Monsters""",Saara Aalto,English,46,final,staging,7
frida,18,Bulgaria,"""Bones""",Equinox,English,166,final,staging,1
frida,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,staging,10
frida,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,staging,1
frida,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,staging,7
frida,22,Israel,"""Toy""",Netta,English,529,final,staging,6
frida,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,staging,3
frida,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,staging,9
frida,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,staging,7
frida,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,staging,2
scott,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,song,8
scott,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,song,4
scott,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,song,7
scott,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,song,7
scott,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,song,7
scott,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,song,7
scott,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,song,5
scott,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,song,10
scott,9,United Kingdom,"""Storm""",SuRie,English,48,final,song,7
scott,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,song,8
scott,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,song,8
scott,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,song,7
scott,13,France,"""Mercy""",Madame Monsieur,French,173,final,song,1
scott,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,song,3
scott,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,song,1
scott,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,song,2
scott,17,Finland,"""Monsters""",Saara Aalto,English,46,final,song,6
scott,18,Bulgaria,"""Bones""",Equinox,English,166,final,song,4
scott,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,song,4
scott,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,song,5
scott,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,song,7
scott,22,Israel,"""Toy""",Netta,English,529,final,song,5
scott,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,song,8
scott,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,song,6
scott,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,song,2
scott,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,song,9
scott,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,9
scott,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,4
scott,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,6
scott,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,6
scott,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,7
scott,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,7
scott,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,6
scott,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,9
scott,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,8
scott,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,7
scott,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,8
scott,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,6
scott,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,3
scott,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,6
scott,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,1
scott,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,7
scott,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,7
scott,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,8
scott,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,9
scott,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,6
scott,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,7
scott,22,Israel,"""Toy""",Netta,English,529,final,performance,9
scott,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,8
scott,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,8
scott,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,8
scott,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,8
scott,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,8
scott,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,5
scott,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,staging,5
scott,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,staging,7
scott,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,staging,6
scott,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,staging,9
scott,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,staging,7
scott,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,staging,9
scott,9,United Kingdom,"""Storm""",SuRie,English,48,final,staging,6
scott,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,staging,7
scott,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,staging,7
scott,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,staging,6
scott,13,France,"""Mercy""",Madame Monsieur,French,173,final,staging,5
scott,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,staging,5
scott,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,staging,5
scott,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,staging,3
scott,17,Finland,"""Monsters""",Saara Aalto,English,46,final,staging,7
scott,18,Bulgaria,"""Bones""",Equinox,English,166,final,staging,6
scott,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,staging,9
scott,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,staging,8
scott,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,staging,7
scott,22,Israel,"""Toy""",Netta,English,529,final,staging,8
scott,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,staging,6
scott,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,staging,7
scott,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,staging,6
scott,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,staging,7
anton,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,song,5
anton,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,song,5
anton,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,song,7
anton,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,song,3
anton,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,song,6
anton,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,song,4
anton,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,song,6
anton,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,song,4
anton,9,United Kingdom,"""Storm""",SuRie,English,48,final,song,5
anton,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,song,4
anton,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,song,6
anton,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,song,7
anton,13,France,"""Mercy""",Madame Monsieur,French,173,final,song,3
anton,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,song,7
anton,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,song,3
anton,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,song,6
anton,17,Finland,"""Monsters""",Saara Aalto,English,46,final,song,5
anton,18,Bulgaria,"""Bones""",Equinox,English,166,final,song,7
anton,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,song,5
anton,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,song,8
anton,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,song,7
anton,22,Israel,"""Toy""",Netta,English,529,final,song,3
anton,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,song,7
anton,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,song,6
anton,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,song,5
anton,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,song,7
anton,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,6
anton,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,2
anton,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,8
anton,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,1
anton,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,7
anton,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,6
anton,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,7
anton,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,8
anton,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,8
anton,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,3
anton,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,6
anton,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,9
anton,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,3
anton,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,8
anton,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,2
anton,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,10
anton,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,8
anton,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,8
anton,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,8
anton,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,6
anton,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,7
anton,22,Israel,"""Toy""",Netta,English,529,final,performance,7
anton,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,8
anton,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,7
anton,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,6
anton,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,8
anton,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,5
anton,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,2
anton,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,staging,7
anton,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,staging,2
anton,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,staging,4
anton,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,staging,5
anton,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,staging,5
anton,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,staging,5
anton,9,United Kingdom,"""Storm""",SuRie,English,48,final,staging,6
anton,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,staging,3
anton,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,staging,4
anton,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,staging,6
anton,13,France,"""Mercy""",Madame Monsieur,French,173,final,staging,2
anton,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,staging,8
anton,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,staging,3
anton,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,staging,5
anton,17,Finland,"""Monsters""",Saara Aalto,English,46,final,staging,9
anton,18,Bulgaria,"""Bones""",Equinox,English,166,final,staging,7
anton,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,staging,10
anton,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,staging,8
anton,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,staging,7
anton,22,Israel,"""Toy""",Netta,English,529,final,staging,8
anton,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,staging,8
anton,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,staging,6
anton,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,staging,5
anton,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,staging,8
kennet,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,song,4
kennet,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,song,5
kennet,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,song,6
kennet,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,song,5
kennet,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,song,6
kennet,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,song,5
kennet,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,song,4
kennet,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,song,7
kennet,9,United Kingdom,"""Storm""",SuRie,English,48,final,song,4
kennet,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,song,5
kennet,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,song,8
kennet,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,song,3
kennet,13,France,"""Mercy""",Madame Monsieur,French,173,final,song,4
kennet,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,song,8
kennet,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,song,3
kennet,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,song,4
kennet,17,Finland,"""Monsters""",Saara Aalto,English,46,final,song,4
kennet,18,Bulgaria,"""Bones""",Equinox,English,166,final,song,5
kennet,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,song,7
kennet,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,song,4
kennet,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,song,7
kennet,22,Israel,"""Toy""",Netta,English,529,final,song,6
kennet,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,song,5
kennet,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,song,6
kennet,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,song,6
kennet,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,song,8
kennet,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,3
kennet,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,2
kennet,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,4
kennet,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,4
kennet,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,5
kennet,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,4
kennet,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,2
kennet,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,5
kennet,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,6
kennet,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,4
kennet,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,5
kennet,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,2
kennet,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,3
kennet,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,7
kennet,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,2
kennet,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,4
kennet,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,2
kennet,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,2
kennet,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,6
kennet,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,4
kennet,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,4
kennet,22,Israel,"""Toy""",Netta,English,529,final,performance,5
kennet,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,3
kennet,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,4
kennet,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,5
kennet,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,5
kennet,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,3
kennet,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,3
